,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EU,5716.363618,5614.246902,5442.687808,5346.861754,5327.973194,5381.359446,5494.518703,5398.601884,5360.346343,5255.725454,5270.847026,5324.658976,5278.888265,5366.913688,5375.395091,5345.214171,5338.3274,5293.764173,5179.481366,4803.585497,4909.517548,4758.664597,4693.239771,4598.845193,4423.738394,4451.812564
Austria,79.70019192,83.63542601,77.01374941,77.12012344,77.69987188,81.15693303,84.51363994,84.0365892,83.3850417,81.72970833,82.24676137,86.25301872,87.80772207,93.37580998,93.41681242,94.62196715,91.86849625,89.27091732,89.12791309,82.16194936,87.13004553,84.88818891,82.13248527,82.1465182,78.37890254,81.00048783
Belgium,148.7916296,147.9972072,147.886025,146.8813435,154.7109423,157.2672604,161.3936769,153.1431979,158.7732488,152.9637662,154.1917237,152.1308225,150.993406,151.6259591,152.9020342,148.6809845,146.2778515,142.8393477,143.1540725,129.912567,136.642483,126.2700289,123.1136719,123.2670665,118.1496125,121.6418942
Bulgaria,104.3729352,82.49572312,78.27991558,77.57031994,73.78592078,75.31556144,75.17785966,71.59081175,67.47587686,60.51238915,59.61143375,62.77831976,59.88055934,64.44399711,63.58753211,64.26320543,64.80383248,68.69616024,67.38378442,58.20331101,60.81132735,66.13029271,61.01337723,55.81253444,58.02172124,62.02112012
Croatia,31.65207719,24.46401627,22.59429892,22.8469148,22.0120165,22.55625472,23.14919306,24.40134632,24.77215739,25.8424515,25.45714207,26.67087158,27.67215093,29.02890425,29.13495925,29.57104695,29.870867,31.35110951,30.20566891,28.22211171,27.62551089,27.24093495,25.45314084,24.29034658,23.41872775,23.85780347
Cyprus,6.361042968,6.995686164,7.408276628,7.57899132,7.841881749,7.856660319,8.117842184,8.234609537,8.603574197,8.883286574,9.165209145,9.265267918,9.464126326,9.924012583,10.06752236,10.15926868,10.42866784,10.75302022,10.96644854,10.69787244,10.4173014,10.14403501,9.607425511,8.831173575,9.206542655,9.188770851
Czech Republic,198.4770378,179.5943579,172.8851981,164.9465248,157.1696543,157.6156068,159.5939429,155.9229675,149.9369246,140.7054386,149.973979,149.6238257,145.975079,149.4706203,150.5024528,148.5918197,150.3235367,151.7961146,147.2901783,138.8259858,140.5586925,138.8206475,135.3575975,131.4216091,127.4990711,128.820666
Denmark,72.10435727,82.65966826,76.72238315,79.02229556,83.07796811,80.12344557,93.30767186,83.8127111,79.91688235,77.49910947,73.12214718,74.75027821,74.01777507,79.08148391,73.2471162,68.93100341,76.66147521,72.09553249,68.45297739,65.2343941,65.64260522,60.47896196,55.65676963,57.48870841,53.5087991,50.98362015
Estonia,40.51040972,37.35256073,27.29051108,21.36563901,22.06292389,20.26732075,20.96614511,20.60982979,19.00002958,17.67367549,17.37739772,17.76151787,17.22650271,19.1161777,19.41357609,19.30257676,18.54540505,22.32821017,20.0830859,16.77784439,21.25580344,21.28526981,20.23124524,21.94349915,21.20445077,18.11485163
Finland,72.30693499,70.01502101,68.46826862,70.65131393,76.1948147,72.71002089,78.5642321,77.18608518,73.53978567,72.98264531,71.07502202,76.4597391,78.85453874,86.38781991,82.78299515,70.87918931,82.1981045,80.86713522,72.9751611,69.02146638,77.32149224,69.67963791,64.29388764,65.16106591,61.062802,57.53889748
France,555.7714766,581.8722415,571.8580005,549.3767533,547.6872067,554.6250493,571.4455396,564.6358743,581.1237954,569.0513434,566.3616923,567.2868961,561.6959344,567.1354216,567.2213755,569.1352067,557.3352137,548.9179636,541.8859961,519.4903615,527.6820962,501.1828666,499.9277226,497.9668537,470.0386501,474.606684
Germany,1262.988322,1215.674633,1166.121573,1157.804111,1138.699478,1135.74822,1154.415709,1120.284884,1095.151772,1063.23053,1062.239019,1076.761875,1055.640154,1052.93255,1037.0295,1014.862515,1023.367277,997.4096568,1000.000478,931.5623404,965.9697777,945.3960232,951.8450418,970.718609,928.8257586,926.4790077
Greece,105.5773449,105.3058498,106.64844,106.3835165,109.6216888,111.7940586,114.8299107,119.6588324,125.379282,125.8700123,128.8748246,129.7495884,129.7473858,134.1966147,134.9611576,138.8821181,135.1448822,137.9223514,134.6297656,127.1560353,120.9151002,118.0506438,114.4316114,104.9243079,102.2075166,98.60863394
Hungary,94.39680243,87.57215649,77.60391831,78.41422256,77.4501497,76.02839702,78.33362263,76.82154131,76.41663693,76.97602441,74.17420146,76.26796421,74.5109378,77.62995904,76.69868308,76.59084763,75.47873085,73.69034352,71.88164272,65.69246393,66.12236026,64.56941982,60.6610657,57.90793191,58.41469789,61.63954299
