,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EU,27036.9,28570.5,28872.7,32410.7,26845.7,28876.4,31950,32244.5,29327.9,30105
Austria,3186.1,3295.8,3516.4,3298.6,2944.4,3766.6,3615,3526.2,3186.2,3425.5
Belgium,33.4,35.3,28.2,26.8,16.9,30.7,32.7,25.1,27.3,31.8
Bulgaria,247.1,242.8,298.4,434.8,250.8,277.4,350.8,396,486.8,339
Croatia,404.1,497.1,637.1,784.7,432.8,415.9,741.4,774.5,549.5,589.3
Cyprus,0,0,0,0,0,0,0,0,0,0
Czech Republic,179.6,174,208.9,239.8,168.8,183.1,235.1,164.1,154.3,172
Denmark,2.4,2.2,1.6,1.8,1.5,1.5,1.1,1.3,1.5,1.6
Estonia,1.8,2.4,2.8,2.3,2.6,3.6,2.2,2.3,2.3,3
Finland,1219,1471.4,1090.8,1111.1,1070.1,1449.6,1103.9,1151.9,1441.9,1358.5
France,4953.1,5473.3,4900.6,5392.4,3851.3,5044.4,6080.5,5402.4,4681.3,5162.8
Germany,1820.2,1757.8,1636.4,1801.6,1519.4,1870.6,1977.5,1684.2,1631.7,1766.7
Greece,222.8,284.8,462.1,641.4,344.9,378.6,545.7,384.9,524.3,476.6
Hungary,18.1,18.3,19.6,16.2,19.1,18.3,18.3,25.9,20.1,22.3
Ireland,57.4,83.3,77.6,51.5,60.8,69,51.5,61,69.4,58.6
Italy,2821.7,3578.9,4225.1,4395.2,3940.1,3600.6,4537.7,5034,3915.6,3648.5
Latvia,235,267.3,297.2,302.7,248.2,318.7,250.4,171.5,159.9,217.5
Lithuania,36.2,34.6,36.5,46.4,41.3,36.4,44.8,34.3,30,39
Luxembourg,10.1,11.3,9.1,9.3,5.3,8.5,10.2,9.3,8.5,9.9
Malta,0,0,0,0,0,0,0,0,0,0
Netherlands,9.2,8.8,8.4,9,4.9,8.9,9.8,9.6,8,8.6
Poland,202.2,185,204.2,251.1,200.4,175.2,209.7,187.7,157.5,184
Portugal,867.8,584.6,712.3,1388.5,992.3,483.4,1180.6,1338.7,744.6,1351.9
Romania,1372.8,1478.5,1335.7,1709.6,1266.4,1037.5,1286.1,1617,1430.2,1550.1
Slovakia,382.7,347.3,375.6,451.8,324.8,352.8,416.9,361.9,332.4,374.8
Slovenia,280.8,345.5,405.4,388.5,306.3,335.3,398,523.8,327.4,387.2
Spain,2348.2,2008.9,2270.9,3637.5,2630.8,1766.6,3169.8,3367.9,2419.6,3129.4
Sweden,5688.7,5938.9,5662.3,5709.2,5712.3,6786.9,5276.1,5482.7,6475.7,5332.6
United Kingdom,436.5,442.4,449.7,308.8,489.3,456.6,404.2,506.3,541.6,463.9
,,,,,,,,,,
Overall consumption of Hydro Power energy,,,,,,,,,,
Unit:,Thousand Tonnes of Oil Equivelant(TOE),,,,,,,,,
