,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
EU,78.9,79.1,79.4,79.6,79.9,80.2,80.3,80.5,80.9,80.6
Austria,80.1,80.3,80.6,80.5,80.7,81.1,81.1,81.3,81.6,81.3
Belgium,79.5,79.9,79.8,80.2,80.3,80.7,80.5,80.7,81.4,81.1
Bulgaria,72.7,73,73.3,73.7,73.8,74.2,74.4,74.9,74.5,74.7
Croatia,75.9,75.8,76,76.3,76.7,77.2,77.3,77.8,77.9,77.5
Cyprus,80.1,79.8,80.6,81,81.5,81.2,81.1,82.5,82.3,81.8
Czech Republic,76.7,77,77.3,77.4,77.7,78,78.1,78.3,78.9,78.7
Denmark,78.4,78.4,78.8,79,79.3,79.9,80.2,80.4,80.7,80.8
Estonia,73.2,73.2,74.4,75.3,76,76.6,76.7,77.5,77.4,78
Finland,79.5,79.6,79.9,80.1,80.2,80.6,80.7,81.1,81.3,81.6
France,80.9,81.3,81.4,81.5,81.8,82.3,82.1,82.4,82.9,82.4
Germany,79.9,80.1,80.2,80.3,80.5,80.6,80.7,80.6,81.2,80.7
Greece,79.9,79.7,80.2,80.4,80.6,80.8,80.7,81.4,81.5,81.1
Hungary,73.5,73.6,74.2,74.4,74.7,75.1,75.3,75.8,76,75.7
Ireland,79.3,79.7,80.2,80.2,80.8,80.9,80.9,81.1,81.4,81.5
Italy,81.4,81.6,81.7,81.8,82.2,82.4,82.4,82.9,83.2,82.7
Latvia,70.6,70.8,72.1,72.8,73.1,73.9,74.1,74.3,74.5,74.8
Lithuania,71,70.7,71.7,72.9,73.3,73.7,74.1,74.1,74.7,74.6
Luxembourg,79.4,79.5,80.7,80.8,80.8,81.1,81.5,81.9,82.3,82.4
Malta,79.5,79.9,79.7,80.4,81.5,80.9,80.9,81.9,82.1,81.9
Netherlands,80,80.4,80.5,80.9,81,81.3,81.2,81.4,81.8,81.6
Poland,75.3,75.4,75.6,75.9,76.4,76.8,76.9,77.1,77.8,77.5
Portugal,79,79.3,79.5,79.7,80.1,80.7,80.6,80.9,81.3,81.3
Romania,72.5,73.1,73.5,73.7,73.7,74.4,74.4,75.1,75,75
Slovakia,74.5,74.6,74.9,75.3,75.6,76.1,76.3,76.6,77,76.7
Slovenia,78.3,78.4,79.1,79.4,79.8,80.1,80.3,80.5,81.2,80.9
Spain,81.1,81.1,81.5,81.9,82.4,82.6,82.5,83.2,83.3,83
Sweden,81,81.1,81.3,81.5,81.6,81.9,81.8,82,82.3,82.2
United Kingdom,79.5,79.7,79.8,80.4,80.6,81,81,81.1,81.4,81
,,,,,,,,,,
Life Expectancy,,,,,,,,,,
Unit:,Years,,,,,,,,,
