,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EU,324.5,639.5,1205.6,1934.9,3896.6,5793.6,6957.8,7939.3,8796.7,9047.4
Austria,2.1,2.6,4.2,7.6,15,29,50.1,67.5,80.6,94.2
Belgium,0.5,3.6,14.3,48.2,100.6,184.7,227.3,247.9,262.5,265.4
Bulgaria,0,0,0.3,1.3,8.7,70,117,107.7,118.9,119.2
Croatia,0,0,0,0,0,0.2,1,3,4.9,5.6
Cyprus,0.1,0.2,0.3,0.5,1,1.9,4.1,7.2,10.9,12.5
Czech Republic,0.2,1.1,7.6,52.9,187.6,184.7,174.8,182.5,194.7,183.3
Denmark,0.2,0.2,0.3,0.5,1.3,8.9,44.5,51.2,52,64
Estonia,0,0,0,0,0,0,0,0,0,0
Finland,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,1.5
France,1.5,3.6,15,53.3,178.7,345.3,407.1,508.5,624.4,701.6
Germany,264.4,380,566.1,1008.5,1685.2,2268.3,2666.3,3100.3,3329.9,3275.8
Greece,0.1,0.5,4.3,13.6,52.5,145.7,313.7,326,335.3,337.9
Hungary,0,0,0.1,0.1,0.1,0.7,2.1,4.8,10.5,17.3
Ireland,0,0,0,0,0,0.1,0.1,0.1,0.1,0.4
Italy,3.3,16.6,58.2,163.9,928.3,1621.8,1856.3,1918,1972.7,1900.6
Latvia,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0.2,3.9,6.3,6.3,5.7
Luxembourg,1.8,1.7,1.7,1.8,2.2,3.3,6.3,8.1,8.9,8.6
Malta,0,0,0,0.1,0.4,1.4,2.5,5.9,8,10.8
Netherlands,3.2,3.4,3.9,4.8,9,19.5,41.9,67.5,96.4,134.1
Poland,0,0,0,0,0,0.1,0.1,0.6,4.9,10.7
Portugal,2.1,3.5,13.8,18.2,24.1,33.8,41.2,53.9,68.5,70.7
Romania,0,0,0,0,0.1,0.7,36.1,139,170.4,156.5
Slovakia,0,0,0,1.5,34.1,36.5,50.6,51.3,43.5,45.8
Slovenia,0,0.1,0.3,1.1,5.6,14,18.5,22.1,23.6,23
Spain,43,220.3,512.6,552.4,639.8,704.4,716,706.6,710.8,693.8
Sweden,0.3,0.3,0.6,0.7,0.9,1.6,3,4,8.3,12.3
United Kingdom,1.2,1.5,1.7,3.5,20.9,116.4,172.8,348.6,648.8,896
,,,,,,,,,,
Overall consumption of Solar Power energy,,,,,,,,,,
Unit:,Thousand Tonnes of Oil Equivelant(TOE),,,,,,,,,
