,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EU,969.5,1102.1,1322.4,1787.1,2139.8,3216.7,3695.3,4086,4254.2,4311.6
Austria,103.6,114.4,123.7,164.9,166.4,174.4,177.9,182.4,184.9,184.9
Belgium,4.6,5.9,11.1,12.1,14.4,15.3,18.6,20.5,22.3,23
Bulgaria,0,0,0,10.2,13.8,15.4,19.1,19.7,21.8,22.4
Croatia,3.2,4,4.6,5.2,6.1,7.1,8.2,9.3,10.4,11.6
Cyprus,53.5,56.1,57.9,60.8,62.7,64.5,65.7,66.8,67.9,69
Czech Republic,3.8,4.9,6.4,8.7,10.9,13.4,15,16.5,17.7,18.8
Denmark,11.4,12.4,14.1,15.7,17.6,21,24.5,31,36.7,49.5
Estonia,0,0,0,0,0,0,0,0,0,0
Finland,0.6,0.8,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6
France,39.9,49.9,57.6,64.3,71.3,81.7,89.5,95.4,99,100.8
Germany,338.8,386.1,454,484.1,553.7,576.1,583,626.5,671.2,670.8
Greece,159.7,173.1,182.3,183.3,182.9,184.4,187,191.8,196.4,200.2
Hungary,2.5,3.8,4.5,5.4,6.6,8.5,8.8,9.7,10.7,11.2
Ireland,1.4,3.2,5.4,7.5,9.1,10.2,11.3,12.2,13,13.9
Italy,52.2,66.9,84.9,134.1,140.4,155.3,168.2,179.6,190,200.2
Latvia,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0
Luxembourg,0.4,0.5,0.7,0.9,1.1,1.4,1.6,1.7,1.9,2
Malta,0.8,0.9,0.9,3.7,3.9,4,4.1,4.3,4.3,4.4
Netherlands,19.1,20.2,22.1,23.7,24.8,25.6,26.4,26.9,27.2,27.4
Poland,0.4,1.3,8,10,12.5,14.8,24.7,34.8,45,52.3
Portugal,25.6,30.2,34.9,48.1,59.5,67.4,72.8,76.9,80.3,84
Romania,0,0,0.1,0.1,0,0.1,0.2,0.5,0.5,0.5
Slovakia,0,0,0,4.3,5.1,5.4,5.6,5.8,5.5,5.6
Slovenia,0,0,7.6,8.1,8.9,9.8,10.4,10.8,10.9,10.9
Spain,94.5,128.5,197.6,482.4,713.1,1702.9,2112.2,2400.9,2473.3,2484.3
Sweden,8.6,9.5,9.9,10.3,11,11.1,11.2,11.2,11.3,11.2
United Kingdom,44.9,29.5,33.2,38,43,45.9,47.9,49.6,50.7,51.2
,,,,,,,,,,
Overall consumption of Thermal Power energy,,,,,,,,,,
Unit:,Thousand Tonnes of Oil Equivelant(TOE),,,,,,,,,
