,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
EU,7.1,7,8.9,9.5,9.6,10.4,10.8,10.2,9.4,8.6
Austria,4.9,4.1,5.3,4.8,4.6,4.9,5.4,5.6,5.7,6
Belgium,7.5,7,7.9,8.3,7.2,7.6,8.4,8.5,8.5,7.8
Bulgaria,6.9,5.6,6.8,10.3,11.3,12.3,13,11.4,9.2,7.6
Croatia,9.9,8.6,9.2,11.7,13.7,16,17.3,17.3,16.2,13.1
Cyprus,3.9,3.7,5.4,6.3,7.9,11.9,15.9,16.1,15,13
Czech Republic,5.3,4.4,6.7,7.3,6.7,7,7,6.1,5.1,4
Denmark,3.8,3.4,6,7.5,7.6,7.5,7,6.6,6.2,6.2
Estonia,4.6,5.5,13.5,16.7,12.3,10,8.6,7.4,6.2,6.8
Finland,6.9,6.4,8.2,8.4,7.8,7.7,8.2,8.7,9.4,8.8
France,7.7,7.1,8.7,8.9,8.8,9.4,9.9,10.3,10.4,10.1
Germany,8.7,7.5,7.8,7,5.8,5.4,5.2,5,4.6,4.1
Greece,8.4,7.8,9.6,12.7,17.9,24.5,27.5,26.5,24.9,23.6
Hungary,7.4,7.8,10,11.2,11,11,10.2,7.7,6.8,5.1
Ireland,4.7,6.4,12,13.9,14.7,14.7,13.1,11.3,9.4,7.9
Italy,6.1,6.7,7.8,8.4,8.4,10.7,12.2,12.7,11.9,11.7
Latvia,6.1,7.7,17.5,19.5,16.2,15,11.9,10.8,9.9,9.6
Lithuania,4.3,5.8,13.8,17.8,15.4,13.4,11.8,10.7,9.1,7.9
Luxembourg,4.1,5.1,5.1,4.4,4.9,5.1,5.9,5.9,6.7,6.3
Malta,6.5,6,6.9,6.9,6.4,6.3,6.4,5.8,5.4,4.7
Netherlands,3.2,2.8,3.4,4.5,5,5.8,7.3,7.4,6.9,6
Poland,9.6,7.1,8.2,9.7,9.7,10.1,10.3,9,7.5,6.2
Portugal,8.1,7.7,9.6,11,12.9,15.8,16.4,14.1,12.6,11.2
Romania,6.4,5.8,6.9,7,7.2,6.8,7.1,6.8,6.8,5.9
Slovakia,11.1,9.5,12,14.4,13.6,14,14.2,13.2,11.5,9.7
Slovenia,4.9,4.4,5.9,7.3,8.2,8.9,10.1,9.7,9,8
Spain,8.2,11.3,17.9,19.9,21.4,24.8,26.1,24.5,22.1,19.6
Sweden,6.2,6.2,8.4,8.6,7.8,8,8.1,8,7.4,7
United Kingdom,5.3,5.6,7.6,7.8,8.1,7.9,7.5,6.1,5.3,4.8
,,,,,,,,,,
Unemployment rate,,,,,,,,,,
